Species,Plant Type,flag,Height,flag,Leaf Shape,flag,Leaf size (length x width in cm or mm),flag,Bark type,flag,Leaf Apex and Base,flag,pod/fruit width,flag,"Leaf Type (Simple, Compound)",flag,Pinna pairs number,flag,Fruit Shape,flag,Pod weight,flag,Pod or Fruit length,flag,,
populus davidiana,Tree,0,Up to 25 m tall,0,"Deltoid-ovate-orbicular or suborbicular, larger and deltoid-ovate-orbicular on sprouts",0,3-6 cm,0,"Smooth, but rough on basal part of old trunk",0,"Base rounded, truncate, or shallowly cordate; apex acute or shortly acuminate",0,Not applicable,0,Simple,0,Not applicable,0,Ovoid-conical,0,Not applicable,0,Capsule ca. 5 mm,0,25,
ulmus pumila,Tree,0,15 to 30 m,0,Narrowly elliptic to lanceolate,0,2-6.5 x 2-3.5 cm,0,Deeply furrowed with interlacing ridges,0,"Apex acute, base generally not oblique",0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,Orbiculate samaras,0,Not applicable,0,Not applicable,0,25,
quercus lobata,Tree,0,25(-35) m,0,Broadly obovate or elliptic,0,(40-)50-100(-120) x 30-60(-75) mm,0,"Scaly, deeply checkered in age",0,"Base rounded-attenuate, cuneate, or truncate, rarely subcordate; apex broadly rounded",0,Not applicable,0,Simple,0,Not applicable,0,Oblong or fusiform,0,Not applicable,0,30-60 mm,0,25,
quercus virginiana,Tree or shrub,0,"Trees up to 35 m, shrubs sometimes rhizomatous",0,"Obovate to oblanceolate, sometimes orbiculate or lance-ovate",0,(10-)35-90(-150) x (15-)20-40(-85) mm,0,Scaly,0,"Base cuneate to rounded, rarely truncate or cordate; apex obtuse-rounded or acute",0,Not applicable,0,Simple,0,Not applicable,0,"Barrel-shaped, ovoid, or obcylindric",0,Not applicable,0,15-20(-25) mm,0,25,
syzygium cumini,Tree or shrub,0,Up to 18 m tall,0,Oblong or elliptic,0,8-15 cm long and 4-9 cm wide,0,Fairly smooth,0,"Apex shortly acuminate, base cuneate",0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,"Ovoid-oblong, often curved",0,Not applicable,0,2-3 cm long,0,25,
populus nigra,Tree,0,30 m tall,0,"Rhombic, rhombic-ovoid, or deltoid",0,5-10 cm x 4-8 cm,0,Furrowed when older,0,"Base cuneate or broadly cuneate, rarely truncate; apex long acuminate",0,Not applicable,0,Simple,0,Not applicable,0,Ovoid,0,Not applicable,0,5-7 mm,0,25,
populus tremula,Tree,0,Up to 20 m tall,0,Suborbicular,0,"3-7 cm, suborbicular",0,"Smooth, irregularly fissured or scabrous at base of trunk",0,"Base truncate, rounded, or shallowly cordate; apex obtuse-rounded, rarely apiculate",0,Not applicable,0,Simple,0,Not applicable,0,Narrowly conical capsule,0,Not applicable,0,"Female catkin 4-6 cm, to 10 cm in fruit",0,25,
lagerstroemia indica,Shrub or small tree,0,Up to 7 m tall,0,Obovate to oblong-elliptic,0,1-6 cm x 0.5-4 cm,0,"Smooth bark, pale outer bark, light ferruginous brown inner bark",0,"Apex acute or acuminate, base broadly cuneate to rounded",0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,Ellipsoidal capsule,0,Not applicable,0,1-1.3 cm,0,25,
cocos nucifera,Tree,0,Up to 20-30 m tall,0,Linear leaflets,0,Up to 5-7 m long,0,"Smooth, ringed with leaf scars",0,Acuminate apex,0,Not applicable,0,Compound,0,75-125,0,Ovoid to globose,0,Not applicable,0,20-30 cm,0,25,
pinus taeda,Tree,0,Trees to 45 m tall,0,Linear,0,(10-)12-18(-23) cm × 1-2 mm,0,"Forming square or irregularly oblong, scaly plates",0,"Acute to abruptly conic-subulate apex, base with persistent sheath 1-2.5 cm",0,Not applicable,0,Simple (needles),0,Not applicable (needles),0,Narrowly ovoid when open,0,Not applicable,0,6-12 cm,0,25,
quercus agrifolia,Tree,0,Up to 25 m,0,Broadly elliptic to ovate or oblong,0,15-75 mm x 10-40 mm,0,"Ridges broad, rounded",0,"Base rounded or cordate, apex blunt to attenuate",0,Not applicable,0,Simple,0,Not applicable,0,Acorn,0,Not applicable,0,Nut 15-35 mm,0,25,
pinus sylvestris,Tree,0,Up to 40 m tall,0,Semiorbicular in cross-section,0,(0.5-)3-14 cm × 1-2 mm,0,"Red-brown, flaking",0,Base usually twisted,0,Not applicable,0,Simple (needles),0,Not applicable (needles),0,Conical-ovoid,0,Not applicable,0,3-6 cm,0,25,
pinus radiata,Tree,0,20-40 m tall,0,Needle-like,0,(6-)8-15 x 0.11-0.16 cm,0,"Thick, fissured, dark brown to blackish-gray in older trees",0,"Apex acute, base flat or twisted",0,4-6(-10) cm,0,Simple,0,Not applicable (needles),0,"Ovoid-conical, very asymmetrical",0,Not applicable,0,(5-)7-9(-15) cm,0,25,
pinus patula,Tree,0,35-40 m,0,Needle-like,0,15-25(-30) cm x 0.7-0.9(-1) mm,0,"Thick, rough, and scaly with large elongated plates and deep longitudinal fissures on lower trunk; thin, scaly, and reddish-brown on young trees and branches",0,Acute,0,Not applicable (conifer),0,Simple,0,Not applicable (needles),0,"Ovoid or ovoid-attenuate when closed, usually slightly curved, asymmetrical at base",0,Not applicable (conifer),0,5-10(-12) cm,0,25,
picea abies,Tree,0,Up to 50 m tall,0,Quadrangular-linear,0,1.2-2.5 cm long,0,"Reddish-brown or gray, furrowed into small scales",0,Blunt-tipped,0,Not applicable,0,Simple,0,Not applicable,0,Cylindrical,0,Not applicable,0,10-15(-18.5) cm,0,25,
swietenia mahagoni,Tree,0,15-22 m tall,0,"Ovate-lanceolate to elliptic-ovate, often falcate",0,12-25 cm long,0,"Smooth, greyish, shallowly fissured on young trees; scaly on older trees",0,"Apex acute or acuminate, base very asymmetrical, cuneate-rounded",0,Not applicable,0,"Compound, paripinnate (rarely imparipinnate)",0,2-5 pairs,0,Ovoid,0,Not applicable,0,6-10 cm,0,25,
acer palmatum,Tree,0,Up to 15 m tall,0,Suborbicular,0,3-6 cm x 4-8 cm,0,"Greenish gray or light brown, smooth",0,"Apex long acuminate, base cordate to subtruncate",0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,Samara (winged nutlet),0,Not applicable,0,About 1.5 cm with wing,0,25,
cedrus deodara,Tree,0,Up to 60 m tall,0,"Linear but broader distally, triangular in cross section",0,2.5-5 cm × 1-1.5 mm,0,"Dark gray, cracking into irregular scales",0,"Apex acuminate, base not specified",0,Not applicable,0,Simple,0,Not applicable,0,Ovoid or broadly ellipsoid,0,Not applicable,0,7-12 cm,0,25,
quercus alba,Tree,0,Up to 25 m,0,Obovate to narrowly elliptic or narrowly obovate,0,(79-)120-180(-230) x (40-)70-110(-165) mm,0,"Light gray, coarsely flaky, shallowly furrowed",0,"Base narrowly cuneate to acute, apex broadly rounded or ovate",0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,Acorn,0,Not applicable,0,(12-)15-21(-25) mm,0,25,
calophyllum inophyllum,Tree,0,15-30 m tall,0,Elliptic-oblong to obovate,0,8-20 cm x 4.5-12 cm,0,With shallow elliptic longitudinal fissures,0,"Apex rounded to slightly emarginate, base broadly cuneate",0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,Globose,0,Not applicable,0,Not applicable,0,25,
terminalia myriocarpa,Tree,0,Up to 35 m tall,0,Oblong-elliptic or oblong-lanceolate,0,10-25(-30) cm x 4-10(-15) cm,0,Trunk with large buttresses,0,"Base obtuse, apex with short, oblique tip",0,0.8-1.2 cm,0,Simple,0,Not applicable,0,2-winged,0,Not applicable,0,0.3-0.6 cm,0,25,
olea europaea,Tree,0,Up to 14 m tall,0,"Narrowly elliptic, rarely narrowly ovate",0,"Narrowly elliptic, 1.5-10 cm x 0.5-2 cm",0,Warty branchlets,0,"Base cuneate or attenuate, apex acute to acuminate and mucronate to cuspidate",0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,Ellipsoid or subglobose drupe,0,Not applicable,0,,,24,
pinus echinata,Tree,0,35 m,0,Needle-like,0,7-12 cm × ca 1 mm,0,"Initially scaly and nearly black, later becoming red-brown and scaly-plated with evident resin pockets",0,,,Not applicable,0,Simple,0,Not applicable,0,Ovoid to ovoid-conic,0,Not applicable,0,4-6 cm,0,24,
quercus shumardii,Tree,0,Up to 35 m tall,0,Broadly elliptic to obovate,0,10-20 cm x 6-15 cm,0,"Shallowly fissured with scaly or light-colored flat ridges, inner bark pinkish",0,"Apex acute, base obtuse to truncate, occasionally acute",0,Not applicable,0,Simple,0,Not applicable,0,"Ovoid to oblong, occasionally subglobose",0,Not applicable,0,1.4-3 cm,0,25,
pinus halepensis,Coniferous tree,0,15-20 m,0,Needle-like,0,4-15 cm x 0.5-0.8 mm,0,"Fissured, exposing reddish-brown inner bark",0,,,Not applicable,0,Simple,0,Not applicable,0,Conic-ovoid,0,Not applicable,0,5-9 cm,0,24,
quercus palustris,Tree,0,Up to 25 m tall,0,Ovate to elliptic,0,10-20 cm x 7-10 cm,0,"Grayish brown, with broad, shallow fissures",0,"Base cuneate, apex acuminate",0,ca. 1.5 cm,0,Simple,0,Not applicable (simple leaf),0,Narrowly ellipsoid,0,Not applicable,0,2-2.5 cm,0,25,
pinus sibirica,Tree,0,Trees to 35 m tall,0,"Slightly curved, almost triangular in cross section",0,6-11 cm × 0.5-1.7 mm,0,Pale brown or gray-brown,0,,,Not applicable,0,Simple,0,Not applicable (needles),0,Conical-ovoid,0,Not applicable,0,5-8 cm,0,24,
quercus mongolica,Tree,0,Trees to 30 m tall,0,obovate to narrowly so,0,(5-)7-19(-23) × (2-)3-11 cm,0,"Branchlets purple-brown, angular, glabrous, lenticellate",0,"base narrowly rounded to auriculate, apex truncate, shortly mucronate, or cuspidate",0,(1-)1.3-1.8(-2.3) cm,0,Simple,0,,,"Nut narrowly ovoid, ovoid, or ovoid-ellipsoid",0,Not applicable,0,(1.5-)2-2.4 cm,0,24,
pinus wallichiana,Tree,0,70 m tall,0,Triangular in cross-section,0,(6-)11-18(-20) cm × ca. 1 mm,0,Minutely scaly and flaking,0,,,Not applicable (cones),0,Simple (needles),0,Not applicable (needles),0,Cylindric,0,Not applicable (cones),0,10-30 cm,0,24,
eucalyptus sideroxylon,Tree,0,15-35 m,0,Lanceolate to narrowly lanceolate,0,"Adult leaves 7-14 cm long, 1.2-1.8 cm wide",0,"Hard, black, deeply furrowed throughout or on trunk and larger branches, smooth, white on upper branches",0,Acuminate or uncinate,0,Not applicable,0,Simple,0,Not applicable,0,"Hemispherical, ovoid, subglobular or urceolate",0,Not applicable,0,5-11 mm long,0,25,
castanopsis tribuloides,Tree,0,6–40 m high,0,Lanceolate or oblong,0,7–21 by 3–6.5 cm,0,"Dark brown, rough, with longitudinal irregular fissures",0,"Base obtuse, oblique; apex acuminate or acute, sometimes caudate",0,Not applicable,0,Simple,0,,,"Ellipsoid, rarely ovoid",0,Not applicable,0,1.5–2.5 cm,0,24,
ulmus americana,Tree,0,"21-35 m, up to 40 m",0,Oval to oblong-obovate,0,7-14 cm × 3-7 cm,0,Deeply fissured or split into plates,0,"Apex acute to acuminate, base oblique",0,Not applicable,0,Simple,0,Not applicable,0,Ovate,0,Not applicable,0,ca. 1 cm,0,25,
prunus padus,Tree,0,50-150 dm (5-15 m),0,Elliptic to obovate,0,5-10(-13) x 2.5-4.5(-7) cm,0,Not thorny,0,"Base obtuse to rounded or subcordate, apex acuminate to abruptly so",0,Not applicable,0,Simple,0,Not applicable,0,Globose drupes,0,Not applicable,0,,,24,
pinus ponderosa,Tree,0,Trees to 70 m tall,0,Needle-like,0,7-25(-30) cm × (1-)1.2-2 mm,0,"Deeply and irregularly furrowed into broadly oblong, scaly plates",0,,,Not applicable,0,Simple (needles),0,Not applicable (needles),0,Broadly ovoid when open,0,Not applicable,0,5-15 cm,0,24,
pinus canariensis,Tree,0,Up to 30 m,0,"Slender, acute",0,200-300 x 1 mm,0,"Thick, slightly fissured, reddish-brown",0,Acute,0,Not applicable,0,Simple,0,Not applicable,0,Ovoid-conic,0,Not applicable,0,10-20 cm,0,25,
phoenix dactylifera,Tree,0,"30 m or more, but rarely reaching more than 8 m in East Africa",0,Linear pinnae,0,3-5 m long,0,"Dull brown, conspicuously marked with leaf-sheath scars and short bases",0,,,Not applicable,0,Compound,0,Up to 200 per side of rachis,0,"Variable, usually oblong",0,Not applicable,0,4-7 cm,0,24,
cornus florida,Tree or large shrub,0,Up to 10 m,0,Ovate to elliptic or obovate,0,"6-10 cm long, half as wide",0,Closely and deeply checked,0,Abruptly acuminate apex,0,Not applicable,0,Simple,0,Not applicable,0,Ellipsoid,0,Not applicable,0,10-15 mm,0,25,
platycladus orientalis,Tree,0,Up to more than 20 m tall,0,"Facial leaves rhomboid, lateral leaves boat-shaped",0,1-3 mm,0,"Thin, flaking in long strips",0,Apex bluntly pointed,0,Not applicable,0,Simple,0,Not applicable,0,"Subglobose when immature, subovoid when ripe",0,Not applicable,0,1.5-2(-2.5) x 1-1.8 cm when ripe,0,25,
platanus occidentalis,Tree,0,Up to 50 m,0,"Reniform (kidney-shaped) in outline, broadly 3-5 lobed",0,8-20 x 10-22 cm,0,"Pale greenish-gray to nearly white, exfoliating",0,"Base broadly cordate, truncate, or subcuneate",0,Not applicable,0,Simple,0,Not applicable,0,Globose,0,Not applicable,0,Not applicable,0,25,
callistemon citrinus,Tree,0,3 - 7.5 m tall,0,"Lanceolate, narrowly lanceolate",0,"4-11.3 cm x 1 cm, or (3-) 4-6(-7) cm x 5-8 mm",0,"Outer bark grey-brown, inner bark light brown",0,"Acute apex, cuneate base",0,Not applicable,0,Simple,0,Not applicable,0,Depressed globose,0,Not applicable,0,,,24,
casuarina equisetifolia,Tree,0,7-25 m tall,0,Scale-like,0,"Scale-like leaves, 0.4-0.7 mm long, 0.2-0.3 mm wide",0,"Rough or smooth, with lenticels visible on younger twigs",0,,,Not applicable,0,Simple,0,Not applicable,0,"Cone-like, shortly cylindrical or subglobose with flattened apex",0,Not applicable,0,8-17(-25) mm,0,24,
abies holophylla,Tree,0,Trees to 30 m tall,0,"Linear, flattened",0,2-4 cm × 1.5-2.5 mm,0,Gray or dark brown,0,Apex acuminate or acute,0,Not applicable,0,Simple,0,Not applicable,0,Cylindric,0,Not applicable,0,6-14 cm,0,25,
delonix regia,Tree,0,"3-15 m tall, rarely up to 18 m",0,Oblong or elliptic,0,22-50 cm long,0,"Smooth, light brown or grayish brown",0,"Apex acute or rounded, base acute or rounded",0,4-5.5 cm wide,0,Bipinnately compound,0,9-25 pairs,0,Oblong,0,0.4 grams (6.2 grains),1,30-60 cm long,0,25,
ulmus alata,Tree,0,10-18 m,0,Lanceolate to oblanceolate,0,3-6.9 x 0.6-3.2 cm,0,With shallow ridges and plates,0,"Apex acute, base somewhat cordate to oblique",0,Not applicable,0,Simple,0,Not applicable,0,Lanceolate to oblong-elliptic,0,Not applicable,0,ca. 8 mm,0,25,
cordia subcordata,Shrub or tree,0,1.5-15 m tall,0,Broadly ovate to almost round,0,"4-34 cm long, 3-17 cm wide",0,"Brown, rough",0,"Apex rounded to acute or subacute or shortly acuminate, base rounded or sometimes subcordate or obtuse or tapering",0,Not applicable,0,Simple,0,Not applicable,0,"Ovoid, obovoid or subglobose",0,Not applicable,0,1.5-4 cm long,0,25,
schima wallichii,Tree,0,10-15(-20) m tall,0,elliptic to broadly elliptic,0,8-17.5 × 4-7.5 cm,0,"Young branches grayish brown, glabrous, densely white lenticellate",0,"Base broadly cuneate, apex bluntly acute",0,Not applicable,0,Simple,0,Not applicable,0,Subglobose,0,Not applicable,0,2-3 cm in diameter,1,25,
populus angustifolia,Tree,0,20 m,0,Usually lanceolate to narrowly ovate,0,(1.5-)4-8(-13.5) × 0.8-2.5(-4) cm,0,Shallowly furrowed,0,"Apex acute, base acute to rounded",0,Not applicable,0,Simple,0,Not applicable,0,Broadly ovoid to spherical,0,Not applicable,0,3-5 mm,0,25,
corylus avellana,Shrub,0,Up to 5 m (or 8 m),0,Broadly ovate to broadly elliptic,0,5-12 x 4-12 cm,0,"Smooth, sometimes exfoliating in thin papery strips",0,"Base narrowly cordate to narrowly rounded, apex abruptly acuminate",0,Not applicable,0,Simple,0,Not applicable,0,roughly spherical to oval,1,Not applicable,0,15–20 mm (5⁄8–3⁄4 in) in length and 12–20 mm (1⁄2–3⁄4 in) in breadth. Up to 25 mm long,1,25,
morus alba,Tree,0,3-15 m tall,0,Ovate to broadly ovate,0,5-30 cm x 5-12 cm,0,"Rough, vertically fissured",0,"Apex acute, acuminate or obtuse; Base rounded to cordate",0,Not applicable,1,Simple,0,Not applicable (simple leaves),0,"Ovoid, ellipsoid or cylindrical",0,Not applicable,1,1-2.5 cm,0,25,
tabebuia aurea,Tree,0,10-16 m tall,0,Oblong-elliptic to narrowly oblong-lanceolate,0,6–18 cm long,1,Branchlets frequently thick and corky,0,"Apex rounded or retuse, base rounded to subcordate",0,Not applicable,0,Compound,0,Not applicable (palmately compound),0,Oblong capsule,0,Not applicable,0,8.5-15 cm long,0,25,
pinus densiflora,Tree,0,Trees to 30 m tall,0,Semiorbicular in cross-section,0,5-15 cm × ca. 1 mm,0,Flaking and scaly,0,"Apex acute (pointed), Base acute",1,Not applicable,0,Simple,0,Not applicable,0,Ovoid or ovoid-conical,0,Not applicable,0,3-5.5 cm,0,25,
pinus roxburghii,Tree,0,Up to 55 m tall,0,"Slender, flabellate-triangular in cross section",0,20-30 cm x ca. 1.5 mm,0,"Dark red-brown, thick, deeply and longitudinally fissured, scaly",0,"Apex acuminate, Base rounded to cordate",1,Not applicable,0,Simple,0,Not applicable,0,Ovoid,0,Not applicable,0,10-20 cm,0,25,
pinus edulis,Tree,0,10-21 m,0,"Connivent, 2-sided or 3-sided",0,2-4 cm x (0.9-1.5) mm,0,"Shallowly and irregularly furrowed, ridges scaly, rounded",0,"Apex narrowly acute to subulate, base not specified",0,Not applicable,0,Simple,0,Not applicable,0,"Ovoid before opening, depressed-ovoid to nearly globose when open",0,Not applicable,0,3–5 cm (1+1⁄4–2 in) when closed and 4–6 cm (1+1⁄2–2+1⁄4 in) when mature and open,1,25,
pinus contorta,Tree,0,Up to 50 m tall,0,needle-like,1,2-8 cm x 0.7-2(-3) mm,0,Platy to furrowed,0,Apex blunt to acute or narrowly acuminate,0,Not applicable,0,Simple,0,Not applicable,0,"Seed cones lanceoloid to ovoid before opening, broadly ovoid to nearly globose when open",0,Not applicable,0,2-6 cm,0,25,
pinus elliottii,Coniferous tree,0,Up to 30 m,0,Needle-like,0,15-20(-23) cm x 1.2-1.5 mm,0,"Irregularly furrowed and cross-checked into large, irregularly rectangular, papery-scaly plates",0,Apex abruptly acute to acuminate; base with persistent sheath 1-2 cm,0,Not applicable,1,"Simple, needle-like",0,Not applicable (needle-like leaves),0,Conic-ovoid,0,Not applicable,1,60-140 mm,0,25,
betula pendula,Tree,0,Trees to 25 m tall,0,Triangular-ovate or rhombic-ovate,0,3-7.5 x 1.5-6 cm,0,"Grayish white, exfoliating in sheets",0,"Base truncate, broadly cuneate, or cuneate; apex acuminate or caudate-acuminate",0,Not applicable,0,Simple,0,Not applicable,1,Nutlet obovate-elliptic,0,Not applicable,0,Nutlet ca. 2 x 1 mm,0,25,
acacia auriculiformis,Tree,0,Up to 12 m,0,"Falcate-lanceolate, tapering to each end",0,10-20 cm x 1.5-4(-6) cm,0,"Gray-white, smooth",0,Both ends attenuate,0,0.8-1.2 cm,0,Simple,0,Not applicable (simple leaves),0,broadly ovate to elliptical,1,Not applicable,1,5-8 cm,0,25,
pinus tabuliformis,Tree,0,Trees to 25 m tall,0,Semiorbicular in cross section,0,6-15 cm × 1-1.5 mm,0,Scaly,0,"Apex acuminate, Base rounded to cordate",1,Not applicable,0,Simple (needles),0,Not applicable (needles),0,Ovoid to ovoid-globose,0,Not applicable,0,2.5-9 cm,0,25,
terminalia crenulata,Tree,0,Up to 30 m tall,1,"Elliptic, oblong or ovate",0,12.5-22.5 x 5-13 cm,0,"Dark grey, rough",0,Not available,1,Not applicable,0,Simple,0,Not applicable,0,Drupe with 5 broad wings,0,Not applicable,0,3.5-5 cm,0,25,
pinus brutia,Tree or rarely shrub,0,Up to 40 m tall,0,Needle-like,0,(5-)7-28 cm x 0.1-0.115 cm,0,"Thick, deeply fissured longitudinally into scaly, elongated plates",0,"Apex acute, Base rounded",1,Not applicable,0,Simple,0,Not applicable,0,"Symmetric, flat or swollen at base, narrowly to broadly ovoid, conic, ellipsoid, acute",0,Not applicable,0,(2.5)4.5-8(-13) cm,0,25,
picea obovata,Tree,0,Trees to 40 m tall,0,"quadrangular-linear, ± curved, quadrangular or broadly rhombic in cross section",0,1.3-2.3 cm x ca. 2 mm,0,irregularly flaking,0,apex acute,0,Not applicable,0,Simple,0,Not applicable,0,ovoid-cylindric or cylindric,0,Not applicable,0,5-11 cm,0,25,
picea smithiana,Tree,0,"Up to 30 m or more, 60 m tall",0,"Quadrangular-linear, slender, curved",0,3.3-5.5 cm x 1.3-1.8 mm,0,Breaking into irregular plates,0,Apex acute or acuminate,0,Not applicable,0,Simple,0,Not applicable,0,Ellipsoid,0,Not applicable,0,10-15 cm,0,25,
abies densa,Tree,0,Trees to 60 m tall,0,Linear,0,2-4.5 cm × 2.5-3 mm,0,Scaly bark,0,Apex obtuse or emarginate,0,Not applicable,0,Simple,0,Not applicable,0,Cone,1,Not applicable,0,Seed cones 9-10 × 4-4.5 cm,0,25,
terminalia bellirica,Tree,0,Up to 35 m tall,0,Obovate,0,18-26 cm x 6-12 cm,0,"Gray, longitudinally ridged",0,"Apex obtuse or mucronate, base obtuse-rounded or attenuate",0,1.8-2.5 cm,0,Simple,1,Not applicable (simple leaves),0,"Subglobose to broadly ellipsoid or ovoid, weakly to strongly 5-ridged",0,Not applicable,0,2-3 cm,0,25,
chamaecyparis obtusa,Tree,0,Up to 40 m tall,0,"Rhomboid (facial leaves), lateral leaves not specified",0,1-1.5 mm (rhomboid),0,Peeling off in thin strips,0,"Apex obtuse or subacute (facial leaves), apex incurved (lateral leaves)",0,Not applicable,0,Simple,0,Not applicable,0,Globose,0,Not applicable,0,Not applicable,0,25,
juniperus virginiana,Tree,0,Up to 18 m tall,0,"Adult leaves scale-like, overlapping, acute; juvenile leaves needle-like",0,"Adult leaves scale-like, ± 1.5 mm long; juvenile leaves needle-like, up to 10 mm long",0,Peeling in strips,0,Acute apex,0,Not applicable,0,Simple,0,Not applicable,0,Globose,0,Not applicable,0,3–7 mm (1⁄8–1⁄4 in) long.,1,25,
